All_Info
"14 October 1964:  KB-50J Superfortress; Ser # 48-0065; USAF; Detachment 1, 421 ARS, 41 AD on TDY; Takhli"
24 October 1964:  C-123B Provider; Ser # 55-4549; USAF; 315 TCG; Tan Son Nhut
"26 October 1964:  A-1E Skyraider; Ser # 52-132411; USAF; 1 ACS, 34 TG; Bien Hoa"
"29 October 1964:  A-1E Skyraider; Ser # 52-132476; USAF; 1 ACS, 34 TG; Bien Hoa"
"1 November 1964:  B-57B Canberra; Ser # 53-3924; USAF; 8/13 TBS, 405 FW; Bien Hoa"
"1 November 1964:  B-57B Canberra; Ser # 53-3892; USAF; 8/13 TBS, 405 FW; Bien Hoa"
"1 November 1964:  B-57B Canberra; Ser # 53-3914; USAF; 8/13 TBS, 405 FW; Bien Hoa"
"1 November 1964:  B-57B Canberra; Ser # 53-3894; USAF; 8/13 TBS, 405 FW; Bien Hoa"
"1 November 1964:  B-57B Canberra; Ser # 52-1555; USAF; 8/13 TBS, 405 FW; Bien Hoa"
1 November 1964:  F-8E Crusader; Ser # 149141; USN; VF-53; USS Ticonderoga
"7 November 1964:  O-1F Bird Dog; Ser # 57-2828; USAF; 1 ACS, 34 TG; Bien Hoa"
"13 November 1964:  RF-8A Crusader; Ser # 146879; USN; Detachment F, VFP-63; USS Constellation"
13 November 1964:  F-4B Phantom; Ser # 151402; USN; VF-142; USS Constellation
13 November 1964:  A-4C Skyhawk; Ser # 149570; USN; VA-146; USS Constellation
"18 November 1964:  F-100D Super Sabre; Ser # unknown; USAF; 613 TFS, 401 TFW on TDY; Da Nang"
"19 November 1964:  T-28D Trojan; Ser # 51-7870; USAF; Detachment 6, 1 ACW attached to 35 TACG; Udorn"
"19 November 1964:  T-28D Trojan; Ser # unknown; USAF; Detachment 6, 1 ACW attached to 35 TACG; Udorn"
"21 November 1964:  RF-101C Voodoo; Ser # 56-0230; USAF; 15 TRS, 18 TFW on TDY; Tan Son Nhut"
23 November 1964:  A-4E Skyhawk; Ser # 151037; USN; VA-55; USS Ticonderoga
"27 November 1964:  F-102A Delta Dagger; Ser # 56-1189; USAF; Detachment 5, 509 FIS, 405 FW; Tan Son Nhut"
"1 December 1964:  A-1E Skyraider; Ser # 52-132640; USAF; 1 ACS, 34 TG; Bien Hoa"
